,customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_Tenure_ratio,tenure_ratio
62,0526-SXDJP,72,0,,Bank transfer (automatic),42.1,2962.0,No,0.5847222222222223,0.024307900067521943
63,0557-ASKVU,18,1,1.0,Credit card (automatic),54.4,957.1,No,3.022222222222222,0.018806812245324416
64,5698-BQJOH,9,1,0.0,Electronic check,94.4,857.25,Yes,10.488888888888889,0.010498687664041995
65,5122-CYFXA,3,1,0.0,Electronic check,75.3,244.1,No,25.099999999999998,0.012290045063498567
66,8627-ZYGSZ,47,1,1.0,Electronic check,78.9,3650.35,No,1.6787234042553192,0.012875477693919762
67,3410-YOQBQ,31,1,,Mailed check,79.2,2497.2,No,2.5548387096774197,0.012413903572000642
68,3170-NMYVV,50,1,,Bank transfer (automatic),20.15,930.9,No,0.40299999999999997,0.05371146202599635
69,7410-OIEDU,10,1,0.0,Mailed check,79.85,887.35,No,7.984999999999999,0.011269510339775737
70,2273-QCKXA,1,1,0.0,Mailed check,49.05,49.05,No,49.05,0.020387359836901122
71,0731-EBJQB,52,1,1.0,Electronic check,20.4,1090.65,No,0.3923076923076923,0.04767799018933663
72,1891-QRQSA,64,1,,Bank transfer (automatic),111.6,7099.0,No,1.74375,0.009015354275250036
73,8028-PNXHQ,62,1,,Bank transfer (automatic),24.25,1424.6,No,0.3911290322580645,0.04352098834760635
74,5630-AHZIL,3,1,0.0,Bank transfer (automatic),64.5,177.4,No,21.5,0.016910935738444193
75,2673-CXQEU,56,1,1.0,Electronic check,110.5,6139.5,No,1.9732142857142858,0.009121263946575454
76,6416-JNVRK,46,1,1.0,Credit card (automatic),55.65,2688.85,No,1.2097826086956522,0.017107685441731597
77,5590-ZSKRV,8,1,0.0,Mailed check,54.65,482.25,No,6.83125,0.01658890616899948
78,0191-ZHSKZ,30,1,0.0,Electronic check,74.75,2111.3,No,2.4916666666666667,0.01420925496139819
79,3887-PBQAO,45,1,1.0,Credit card (automatic),25.9,1216.6,No,0.5755555555555555,0.03698832812756864
80,5919-TMRGD,1,1,0.0,Electronic check,79.35,79.35,Yes,79.35,0.012602394454946441
81,8108-UXRQN,11,0,0.0,Electronic check,50.55,565.35,No,4.595454545454545,0.01945697355620412
82,9191-MYQKX,7,1,0.0,Bank transfer (automatic),75.15,496.9,Yes,10.735714285714286,0.01408734151740793
83,9919-YLNNG,42,1,0.0,Bank transfer (automatic),103.8,4327.5,No,2.4714285714285715,0.009705372616984401
84,0318-ZOPWS,49,1,,Bank transfer (automatic),20.15,973.35,No,0.41122448979591836,0.05034160373966199
85,4445-ZJNMU,9,1,0.0,Credit card (automatic),99.3,918.75,No,11.033333333333333,0.009795918367346938
86,4808-YNLEU,35,1,1.0,Bank transfer (automatic),62.15,2215.45,No,1.7757142857142856,0.015798144846419466
87,1862-QRWPE,48,1,,Bank transfer (automatic),20.65,1057.0,No,0.4302083333333333,0.04541154210028382
88,2796-NNUFI,46,1,,Mailed check,19.95,927.1,No,0.43369565217391304,0.049617085535540936
89,3016-KSVCP,29,0,0.0,Mailed check,33.75,1009.25,No,1.1637931034482758,0.028734208570720832
90,4767-HZZHQ,30,1,0.0,Bank transfer (automatic),82.05,2570.2,No,2.735,0.011672243405182477
91,2424-WVHPL,1,1,0.0,Electronic check,74.7,74.7,No,74.7,0.013386880856760375
92,7233-PAHHL,66,1,,Mailed check,84.0,5714.25,No,1.2727272727272727,0.011550072187951175
93,6067-NGCEU,65,1,0.0,Credit card (automatic),111.05,7107.0,No,1.7084615384615385,0.009145912480652878
94,9848-JQJTX,72,1,,Bank transfer (automatic),100.9,7459.05,No,1.401388888888889,0.009652703762543487
95,8637-XJIVR,12,1,0.0,Electronic check,78.95,927.35,Yes,6.579166666666667,0.012940098129077478
96,9803-FTJCG,71,1,1.0,Credit card (automatic),66.85,4748.7,No,0.9415492957746479,0.014951460399688336
97,0278-YXOOG,5,1,0.0,Mailed check,21.05,113.85,Yes,4.21,0.04391743522178305
98,3212-KXOCR,52,1,,Bank transfer (automatic),21.0,1107.2,No,0.40384615384615385,0.04696531791907514
99,4598-XLKNJ,25,1,0.0,Electronic check,98.5,2514.5,Yes,3.94,0.00994233446013124
100,6380-ARCEH,1,1,0.0,Mailed check,20.2,20.2,No,20.2,0.04950495049504951
101,3679-XASPY,1,1,0.0,Electronic check,19.45,19.45,No,19.45,0.05141388174807198
102,7123-WQUHX,38,1,1.0,Bank transfer (automatic),95.0,3605.6,No,2.5,0.01053916130463723
103,5386-THSLQ,66,0,1.0,Bank transfer (automatic),45.55,3027.25,No,0.6901515151515151,0.021801965480221324
104,3192-NQECA,68,1,,Bank transfer (automatic),110.0,7611.85,Yes,1.6176470588235294,0.008933439308446698
105,6180-YBIQI,5,0,0.0,Mailed check,24.3,100.2,No,4.86,0.0499001996007984
106,6728-DKUCO,72,1,1.0,Electronic check,104.15,7303.05,No,1.4465277777777779,0.009858894571446177
107,9750-BOOHV,32,0,1.0,Mailed check,30.15,927.65,No,0.9421875,0.034495768878348515
108,8597-CWYHH,43,1,1.0,Mailed check,94.35,3921.3,No,2.1941860465116276,0.010965751153954045
109,2848-YXSMW,72,1,,Credit card (automatic),19.4,1363.25,No,0.26944444444444443,0.052814964239867965
110,0486-HECZI,55,1,0.0,Electronic check,96.75,5238.9,Yes,1.759090909090909,0.010498387065987136
111,4549-ZDQYY,52,1,1.0,Credit card (automatic),57.95,3042.25,No,1.114423076923077,0.01709261237570877
112,5712-AHQNN,43,1,0.0,Electronic check,91.65,3954.1,No,2.1313953488372093,0.010874788194532258
113,4846-WHAFZ,37,1,0.0,Electronic check,76.5,2868.15,Yes,2.0675675675675675,0.012900301588131722
114,5256-SKJGO,64,0,,Electronic check,54.6,3423.5,No,0.853125,0.01869431867971374
115,3071-VBYPO,3,1,0.0,Electronic check,89.85,248.4,No,29.95,0.012077294685990338
116,9560-BBZXK,36,0,,Bank transfer (automatic),31.05,1126.35,No,0.8625,0.03196164602477028
117,5299-RULOA,10,1,0.0,Electronic check,100.25,1064.65,Yes,10.025,0.009392758183440566
118,8402-OOOHJ,41,1,,Mailed check,20.65,835.15,No,0.5036585365853659,0.049092977309465366
119,9445-ZUEQE,27,1,0.0,Credit card (automatic),85.2,2151.6,No,3.1555555555555554,0.012548800892359175
120,1091-SOZGA,56,1,1.0,Credit card (automatic),99.8,5515.45,No,1.782142857142857,0.010153296648505563
121,2928-HLDBA,6,1,0.0,Mailed check,20.7,112.75,No,3.4499999999999997,0.05321507760532151
122,0404-SWRVG,3,1,0.0,Electronic check,74.4,229.55,Yes,24.8,0.01306904813766064
123,6497-TILVL,7,1,0.0,Mailed check,50.7,350.35,No,7.242857142857143,0.01998001998001998
124,7219-TLZHO,4,1,0.0,Mailed check,20.85,62.9,No,5.2125,0.06359300476947535
125,4622-YNKIJ,33,1,,Electronic check,88.95,3027.65,No,2.6954545454545453,0.01089954254950209
126,4412-YLTKF,27,1,0.0,Electronic check,78.05,2135.5,Yes,2.890740740740741,0.01264340903769609
127,6734-PSBAW,72,1,,Bank transfer (automatic),23.55,1723.95,No,0.32708333333333334,0.041764552336204644
128,3930-ZGWVE,1,1,0.0,Mailed check,19.75,19.75,No,19.75,0.05063291139240506
129,2639-UGMAZ,71,0,1.0,Electronic check,56.45,3985.35,No,0.7950704225352113,0.01781524834707115
130,2876-GZYZC,13,1,0.0,Electronic check,85.95,1215.65,No,6.611538461538462,0.010693867478303786
131,6207-WIOLX,25,0,0.0,Credit card (automatic),58.6,1502.65,Yes,2.344,0.016637274149003425
132,8587-XYZSF,67,1,,Bank transfer (automatic),50.55,3260.1,No,0.7544776119402985,0.02055151682463728
133,3091-FYHKI,1,0,0.0,Electronic check,35.45,35.45,Yes,35.45,0.028208744710860365
134,2372-HWUHI,2,1,0.0,Electronic check,44.35,81.25,Yes,22.175,0.024615384615384615
135,7799-LGRDP,43,1,,Credit card (automatic),25.7,1188.2,No,0.5976744186046511,0.036189193738427876
136,7850-VWJUU,23,1,0.0,Bank transfer (automatic),75.0,1778.5,No,3.260869565217391,0.012932246274950801
137,3774-VBNXY,64,1,,Mailed check,20.2,1277.75,No,0.315625,0.050088045392291135
138,6217-KDYWC,57,1,,Mailed check,19.6,1170.55,No,0.34385964912280703,0.048695057878774935
139,0390-DCFDQ,1,1,0.0,Mailed check,70.45,70.45,Yes,70.45,0.014194464158977998
140,3146-MSEGF,72,1,,Credit card (automatic),88.05,6425.65,No,1.2229166666666667,0.011205092091850631
141,4080-OGPJL,8,1,0.0,Electronic check,71.15,563.65,Yes,8.89375,0.014193205003104763
142,1095-WGNGG,61,1,,Bank transfer (automatic),101.05,5971.25,No,1.6565573770491804,0.010215616495708603
143,2636-SJDOU,64,1,1.0,Credit card (automatic),84.3,5289.05,No,1.3171875,0.012100471729327572
144,1131-QQZEB,71,1,,Bank transfer (automatic),23.95,1756.2,No,0.3373239436619718,0.040428197244049655
145,5716-EZXZN,65,1,,Credit card (automatic),99.05,6416.7,No,1.5238461538461539,0.01012981750744152
146,6837-BJYDQ,3,1,1.0,Mailed check,19.6,61.35,No,6.533333333333334,0.04889975550122249
147,2135-RXIHG,1,1,0.0,Electronic check,45.65,45.65,Yes,45.65,0.02190580503833516
148,6440-DKQGE,30,1,1.0,Credit card (automatic),64.5,1929.95,No,2.15,0.015544444156584366
149,3466-BYAVD,15,1,0.0,Mailed check,69.5,1071.4,No,4.633333333333334,0.014000373343289154
150,3780-YVMFA,8,1,0.0,Electronic check,68.55,564.35,No,8.56875,0.014175600248073003
151,3874-EQOEP,7,1,0.0,Mailed check,95.0,655.5,Yes,13.571428571428571,0.010678871090770405
152,1679-JRFBR,70,1,1.0,Credit card (automatic),108.15,7930.55,No,1.5450000000000002,0.008826626148249491
153,9073-ZZIAY,62,1,,Electronic check,86.1,5215.25,No,1.3887096774193548,0.011888212453861272
154,3077-RSNTJ,6,1,0.0,Mailed check,19.7,113.5,No,3.283333333333333,0.05286343612334802
155,6551-GNYDG,14,1,0.0,Bank transfer (automatic),80.9,1152.8,No,5.778571428571429,0.012144344205412909
156,9167-APMXZ,22,1,0.0,Bank transfer (automatic),84.15,1821.95,No,3.825,0.012074974615110184
157,2749-CTKAJ,22,1,1.0,Mailed check,20.15,419.9,No,0.9159090909090909,0.052393427006430106
158,6371-NZYEG,16,1,,Mailed check,64.25,1024.0,No,4.015625,0.015625
159,7554-NEWDD,10,1,,Bank transfer (automatic),25.7,251.6,No,2.57,0.0397456279809221
160,8992-VONJD,13,1,0.0,Electronic check,56.0,764.55,No,4.3076923076923075,0.017003466091164737
161,0867-MKZVY,20,1,0.0,Electronic check,82.4,1592.35,Yes,4.12,0.01256005275222156
162,4482-EWFMI,2,1,0.0,Electronic check,69.7,135.2,No,34.85,0.014792899408284025
163,4648-YPBTM,53,1,,Bank transfer (automatic),73.9,3958.25,No,1.3943396226415095,0.013389755573801553
164,2907-ILJBN,11,1,1.0,Mailed check,20.6,233.9,No,1.8727272727272728,0.0470286447199658
165,6345-FZOQH,69,1,,Mailed check,19.9,1363.45,No,0.28840579710144926,0.05060691627855807
166,3376-BMGFE,4,1,0.0,Bank transfer (automatic),70.9,273.0,Yes,17.725,0.014652014652014652
167,5997-OPVFA,72,1,,Bank transfer (automatic),89.05,6254.45,No,1.2368055555555555,0.011511803595839762
168,3445-HXXGF,58,0,0.0,Electronic check,45.3,2651.2,Yes,0.7810344827586206,0.02187688593844297
169,1159-WFSGR,16,1,0.0,Electronic check,20.4,321.4,No,1.275,0.04978220286247667
170,7654-YWJUF,43,1,1.0,Bank transfer (automatic),84.25,3539.25,No,1.9593023255813953,0.01214946669492124
171,1875-QIVME,2,1,0.0,Electronic check,104.4,242.8,Yes,52.2,0.008237232289950576
172,6727-IOTLZ,14,1,,Mailed check,81.95,1181.75,No,5.853571428571429,0.01184683731753755
173,0691-JVSYA,53,1,1.0,Bank transfer (automatic),94.85,5000.2,Yes,1.7896226415094338,0.010599576016959322
174,5918-VUKWP,32,1,1.0,Bank transfer (automatic),20.55,654.55,No,0.6421875,0.04888854938507372
175,1744-JHKYS,34,1,0.0,Electronic check,24.7,780.2,No,0.7264705882352941,0.04357856959753909
176,2656-FMOKZ,15,1,0.0,Mailed check,74.45,1145.7,Yes,4.963333333333334,0.013092432573972244
177,2070-FNEXE,7,1,0.0,Bank transfer (automatic),76.45,503.6,Yes,10.921428571428573,0.013899920571882446
178,5947-SGKCL,15,1,0.0,Bank transfer (automatic),105.35,1559.25,No,7.0233333333333325,0.00962000962000962
179,3712-PKXZA,61,1,1.0,Credit card (automatic),20.55,1252.0,No,0.3368852459016394,0.048722044728434506
180,6317-YPKDH,1,0,0.0,Bank transfer (automatic),29.95,29.95,Yes,29.95,0.0333889816360601
181,6582-OIVSP,1,1,0.0,Mailed check,45.3,45.3,No,45.3,0.02207505518763797
182,9367-WXLCH,8,1,0.0,Bank transfer (automatic),84.5,662.65,Yes,10.5625,0.012072738247943863
183,5524-KHNJP,33,1,1.0,Credit card (automatic),74.75,2453.3,No,2.265151515151515,0.013451269718338564
184,1918-ZBFQJ,13,1,0.0,Electronic check,79.25,1111.65,Yes,6.096153846153846,0.011694328250798362
185,1024-GUALD,1,0,0.0,Electronic check,24.8,24.8,Yes,24.8,0.04032258064516129
186,4827-USJHP,20,1,0.0,Mailed check,51.8,1023.85,No,2.59,0.019534111442105775
187,8167-GJLRN,3,0,0.0,Electronic check,30.4,82.15,No,10.133333333333333,0.03651856360316494
188,0956-SYCWG,13,1,1.0,Electronic check,19.65,244.8,No,1.5115384615384615,0.05310457516339869
189,8017-UVSZU,40,1,0.0,Credit card (automatic),56.6,2379.1,No,1.415,0.016813080576688663
190,7100-FQPRV,43,1,1.0,Credit card (automatic),71.9,3173.35,No,1.672093023255814,0.013550349000267857
191,2472-OVKUP,6,1,0.0,Electronic check,91.0,531.0,Yes,15.166666666666666,0.011299435028248588
192,2984-RGEYA,69,1,,Bank transfer (automatic),19.75,1375.4,No,0.286231884057971,0.05016722408026755
193,9680-NIAUV,72,1,,Credit card (automatic),109.7,8129.3,No,1.5236111111111112,0.00885685114339488
194,2146-EGVDT,59,1,,Credit card (automatic),19.3,1192.7,No,0.3271186440677966,0.04946759453341158
195,2604-IJPDU,20,1,0.0,Electronic check,96.55,1901.65,No,4.8275,0.010517182446822496
196,9178-JHUVJ,24,1,,Bank transfer (automatic),24.1,587.4,No,1.0041666666666667,0.04085801838610827
197,6168-YBYNP,59,1,0.0,Electronic check,111.35,6519.75,No,1.8872881355932203,0.009049426741822922
198,7255-SSFBC,72,1,,Bank transfer (automatic),112.25,8041.65,No,1.5590277777777777,0.008953386431888978
199,3645-DEYGF,1,1,0.0,Mailed check,20.75,20.75,No,20.75,0.04819277108433735
200,9323-HGFWY,27,1,1.0,Credit card (automatic),101.9,2681.15,No,3.774074074074074,0.010070305652425265
201,8544-GOQSH,14,1,0.0,Credit card (automatic),80.05,1112.3,No,5.7178571428571425,0.012586532410320957
202,3363-DTIVD,71,1,,Electronic check,105.55,7405.5,No,1.486619718309859,0.009587468773209101
203,7018-WBJNK,13,1,0.0,Credit card (automatic),78.3,1033.95,No,6.023076923076923,0.012573141834711542
204,9142-KZXOP,44,1,0.0,Credit card (automatic),68.85,2958.95,No,1.5647727272727272,0.014870139745517836
205,7674-YTAFD,33,1,1.0,Bank transfer (automatic),79.95,2684.85,No,2.422727272727273,0.01229118945192469
206,6348-SNFUS,72,0,,Credit card (automatic),55.45,4179.2,No,0.7701388888888889,0.017228177641653904
207,1285-OKIPP,1,1,0.0,Electronic check,79.9,79.9,Yes,79.9,0.012515644555694618
208,7825-ECJRF,19,1,0.0,Electronic check,106.6,1934.45,Yes,5.610526315789474,0.009821913205303833
209,1347-KTTTA,64,1,1.0,Credit card (automatic),102.45,6654.1,No,1.60078125,0.009618130175380591
210,7841-TZDMQ,2,1,0.0,Credit card (automatic),46.0,84.5,Yes,23.0,0.023668639053254437
211,4195-NZGTA,1,0,0.0,Electronic check,25.25,25.25,No,25.25,0.039603960396039604
212,7157-SMCFK,61,1,,Mailed check,19.75,1124.2,No,0.3237704918032787,0.05426080768546522
213,4709-LKHYG,29,1,1.0,Electronic check,20.0,540.05,No,0.6896551724137931,0.05369873159892603
214,2504-DSHIH,23,1,0.0,Electronic check,86.8,1975.85,No,3.773913043478261,0.011640559759091024
215,0699-NDKJM,57,0,0.0,Bank transfer (automatic),58.75,3437.45,No,1.030701754385965,0.0165820593754091
216,9286-BHDQG,72,0,,Credit card (automatic),45.25,3139.8,No,0.6284722222222222,0.022931396904261415
217,0230-WEQUW,66,0,,Bank transfer (automatic),56.6,3789.2,No,0.8575757575757575,0.017417924627889794
218,2040-LDIWQ,65,1,,Bank transfer (automatic),84.2,5324.5,No,1.2953846153846154,0.01220771903465114
219,6496-JDSSB,8,1,0.0,Bank transfer (automatic),80.0,624.6,No,10.0,0.012808197246237591
220,9408-SSNVZ,4,1,0.0,Electronic check,70.15,268.35,Yes,17.5375,0.014905906465436929
221,4443-EMBNA,71,1,,Bank transfer (automatic),24.75,1836.9,No,0.3485915492957746,0.03865207686863738
222,6469-MRVET,1,1,1.0,Electronic check,20.2,20.2,No,20.2,0.04950495049504951
223,0742-MOABM,4,1,0.0,Mailed check,50.05,179.35,Yes,12.5125,0.02230275996654586
224,5961-VUSRV,12,1,1.0,Bank transfer (automatic),19.35,219.35,No,1.6125,0.054707089126966035
225,6778-JFCMK,24,0,1.0,Mailed check,50.6,1288.75,No,2.1083333333333334,0.01862269641125121
226,6341-JVQGF,31,1,1.0,Mailed check,81.15,2545.75,No,2.6177419354838714,0.012177158008445448
227,2232-DMLXU,1,1,0.0,Mailed check,55.2,55.2,Yes,55.2,0.018115942028985508
228,4811-JBUVU,30,1,0.0,Credit card (automatic),89.9,2723.15,No,2.996666666666667,0.011016653507886087
229,0945-TSONX,47,1,,Credit card (automatic),85.3,4107.25,No,1.8148936170212766,0.011443179743137136
230,2651-ZCBXV,54,1,,Credit card (automatic),108.0,5760.65,No,2.0,0.009373942176664093
231,3316-UWXUY,50,1,0.0,Credit card (automatic),93.5,4747.5,No,1.87,0.010531858873091101
232,8937-RDTHP,1,1,0.0,Mailed check,84.6,84.6,Yes,84.6,0.011820330969267141
233,7083-MIOPC,72,1,,Credit card (automatic),20.25,1566.9,No,0.28125,0.04595060310166571
234,1984-GPTEH,29,1,0.0,Electronic check,25.15,702.0,No,0.8672413793103447,0.04131054131054131
235,1251-KRREG,2,1,0.0,Mailed check,54.4,114.1,Yes,27.2,0.017528483786152498
236,0621-JFHOL,10,0,,Mailed check,29.6,299.05,No,2.96,0.03343922420999833
237,9903-LYSAB,18,1,0.0,Electronic check,73.15,1305.95,No,4.063888888888889,0.013783069795933994
238,0094-OIFMO,11,1,0.0,Electronic check,95.0,1120.3,Yes,8.636363636363637,0.0098187985361064
239,9227-UAQFT,16,1,,Mailed check,19.75,284.35,No,1.234375,0.05626868296113944
240,7301-ABVAD,72,1,,Bank transfer (automatic),86.6,6350.5,No,1.2027777777777777,0.011337689945673569
241,6614-FHDBO,72,1,,Bank transfer (automatic),109.2,7878.3,No,1.5166666666666666,0.009139027455161647
242,7576-ASEJU,41,1,1.0,Credit card (automatic),74.7,3187.65,No,1.8219512195121952,0.012862139820871175
243,9058-HRZSV,65,1,0.0,Electronic check,94.4,6126.15,No,1.4523076923076923,0.010610252768867887
244,4522-AKYLR,13,1,0.0,Electronic check,54.8,731.3,No,4.2153846153846155,0.017776562286339396
245,0221-WMXNQ,4,1,0.0,Electronic check,75.35,273.4,No,18.8375,0.01463057790782736
246,0303-UNCIP,41,1,1.0,Mailed check,65.0,2531.8,No,1.5853658536585367,0.01619401216525792
247,9947-OTFQU,15,1,0.0,Electronic check,74.4,1074.3,Yes,4.96,0.013962580284836639
248,0322-YINQP,1,1,0.0,Mailed check,48.55,48.55,Yes,48.55,0.02059732234809475
249,0959-WHOKV,42,1,1.0,Electronic check,99.0,4298.45,No,2.357142857142857,0.009770963952122277
250,4075-JFPGR,51,1,1.0,Electronic check,93.5,4619.55,No,1.8333333333333333,0.01104003636717862
251,4629-NRXKX,2,1,0.0,Electronic check,70.4,147.15,Yes,35.2,0.013591573224600747
252,9514-JDSKI,1,0,0.0,Electronic check,40.2,40.2,Yes,40.2,0.02487562189054726
253,3282-ZISZV,32,1,1.0,Credit card (automatic),83.7,2633.3,No,2.615625,0.01215205255762731
254,3675-YDUPJ,10,1,0.0,Mailed check,19.85,193.05,No,1.985,0.051800051800051795
255,4111-BNXIF,67,0,,Electronic check,59.55,4103.9,No,0.8888059701492537,0.016325933867784304
256,7017-VFHAY,61,1,,Credit card (automatic),115.1,7008.15,No,1.8868852459016392,0.008704151594928763
257,6655-LHBYW,50,1,1.0,Credit card (automatic),114.35,5791.1,No,2.287,0.00863393828460914
258,4959-JOSRX,2,1,0.0,Credit card (automatic),44.6,80.55,Yes,22.3,0.024829298572315334
259,5046-NUHWD,29,0,0.0,Electronic check,45.0,1228.65,No,1.5517241379310345,0.023603141659545027
